項番,ファイル名,緯度,緯度,緯度,経度,経度,経度,高度
1,photo001.jpg,35,32,45.6072北緯,139,33,38.9699東経,85.199
2,photo002.jpg,35,32,45.6072北緯,139,33,38.9699東経,85.199
3,photo003.jpg,35,32,45.6072北緯,139,33,38.9699東経,85.199
4,photo004.jpg,35,32,45.6072北緯,139,33,38.9699東経,85.199
5,photo005.jpg,35,32,46.3236北緯,139,33,41.1768東経,85.9
6,photo006.jpg,35,32,46.3236北緯,139,33,41.1768東経,85.9
7,photo007.jpg,35,32,46.3236北緯,139,33,41.1768東経,85.9
8,photo008.jpg,35,32,46.3236北緯,139,33,41.1768東経,85.9
9,photo009.jpg,35,32,46.3236北緯,139,33,41.1768東経,85.9
10,photo010.jpg,35,32,46.3236北緯,139,33,41.1768東経,85.9
11,photo011.jpg,35,32,46.3236北緯,139,33,41.1768東経,85.9
12,photo012.jpg,35,32,46.3236北緯,139,33,41.1768東経,85.9
13,photo013.jpg,35,32,46.3236北緯,139,33,41.1768東経,85.9
14,photo014.jpg,35,32,46.3236北緯,139,33,41.1768東経,85.9
15,photo015.jpg,35,32,46.3236北緯,139,33,41.1768東経,85.9
16,photo016.jpg,35,32,46.3236北緯,139,33,41.1768東経,85.9
17,photo017.jpg,35,32,46.3236北緯,139,33,41.1768東経,85.9
18,photo018.jpg,35,32,48.2532北緯,139,33,42.0587東経,80.4
19,photo019.jpg,35,32,48.2532北緯,139,33,42.0587東経,80.4
20,photo020.jpg,35,32,48.2532北緯,139,33,42.0587東経,80.4
21,photo021.jpg,35,32,48.2532北緯,139,33,42.0587東経,80.4
22,photo022.jpg,35,32,48.2532北緯,139,33,42.0587東経,80.4
23,photo023.jpg,35,32,48.2532北緯,139,33,42.0587東経,80.4
24,photo024.jpg,35,32,48.2532北緯,139,33,42.0587東経,80.4
25,photo025.jpg,35,32,48.2532北緯,139,33,42.0587東経,80.4
26,photo026.jpg,35,32,48.2532北緯,139,33,42.0587東経,80.4
27,photo027.jpg,35,32,46.4568北緯,139,33,42.0624東経,87.599
28,photo028.jpg,35,32,46.4568北緯,139,33,42.0624東経,87.599
29,photo029.jpg,35,32,46.4568北緯,139,33,42.0624東経,87.599
30,photo030.jpg,35,32,46.4568北緯,139,33,42.0624東経,87.599
31,photo031.jpg,35,32,46.4568北緯,139,33,42.0624東経,87.599
32,photo032.jpg,35,32,46.4568北緯,139,33,42.0624東経,87.599
33,photo033.jpg,35,32,47.9507北緯,139,33,41.6087東経,80.599
34,photo034.jpg,35,32,47.9507北緯,139,33,41.6087東経,80.599
35,photo035.jpg,35,32,47.9507北緯,139,33,41.6087東経,80.599
